Node_ID,Nama Fasilitas,Jenis,Type,Lat,Lon,Demand_Ton,Kecamatan_ID,Cost_Gerobak
62,MENGGER GIRANG,TPST/TPS 3R,TPS,-6.94876,107.61368,5.04,7,382618
63,TPS 3R Singgasana Pradana,TPST/TPS 3R,TPS,-6.9526901,107.6108616,5.5,7,415780
64,GRIYA BATUNUNGGAL,TPST/TPS 3R,TPS,-6.95282739999999,107.6230636,5.5,7,460280
65,BATUNUNGGAL INDAH,TPST/TPS 3R,TPS,-6.9546002,107.6272567,5.5,7,505388
66,TPS 3 R Pasirluyu,TPST/TPS 3R,TPS,-6.9465473,107.6216576,5.5,7,524541
67,POOL KECAMATAN 8,POOL,POOL,-6.855600885714286,107.59573548571429,0.0,8,0
68,SERSAN BAJURI,TPST/TPS 3R,TPS,-6.8564899,107.5952916,5.16,8,462460
69,RW 06 LEDENG,TPST/TPS 3R,TPS,-6.8593126,107.5950587,5.5,8,458978
70,Travello Hotel,TPST/TPS 3R,TPS,-6.8613,107.5956,5.5,8,417121
71,GUMILANG SARI,TPST/TPS 3R,TPS,-6.8458859,107.59907,3.92,8,334417
72,GH UNIVERSAL HOTEL,TPST/TPS 3R,TPS,-6.8504926,107.5982276,5.5,8,424971
73,Cinnamon Hotel Boutieq Syariah,TPST/TPS 3R,TPS,-6.8586639,107.5951929,5.5,8,517053
74,CILIMUS,TPST/TPS 3R,TPS,-6.8570613,107.5917076,5.5,8,415379
75,POOL KECAMATAN 9,POOL,POOL,-7.0267716,107.6600073,0.0,9,0
76,TPST Jelekong,TPST/TPS 3R,TPS,-7.0267716,107.6600073,5.5,9,451719
77,POOL KECAMATAN 10,POOL,POOL,-6.897818224999998,107.67307399999999,0.0,10,0
78,TPST Ex TPA Cicabe,TPST/TPS 3R,TPS,-6.891511,107.67961,5.5,10,415637
79,UNIVERSITA ISLAM NEGERI,TPST/TPS 3R,TPS,-6.9040569,107.666282,5.5,10,447141
80,RSU. Hermina Arcamanik,TPST/TPS 3R,TPS,-6.90419399999999,107.666794,4.14,10,370341
81,TPST Pasir Impun,TPST/TPS 3R,TPS,-6.891511,107.67961,5.11,10,487021
82,POOL KECAMATAN 11,POOL,POOL,-6.94217462,107.66248248,0.0,11,0
