id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_ritasi,satuan,tahun
64,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,7288,RIT,2022
65,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,7054,RIT,2022
66,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7367,RIT,2022
67,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,7600,RIT,2022
68,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,7769,RIT,2022
69,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,7422,RIT,2022
70,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,6580,RIT,2022
71,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,7709,RIT,2022
72,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,7512,RIT,2022
73,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,6356,RIT,2023
74,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,6828,RIT,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,7174,RIT,2023
76,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,5887,RIT,2023
77,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,6918,RIT,2023
78,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7543,RIT,2023
79,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,7956,RIT,2023
80,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,5386,RIT,2023
81,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,4921,RIT,2023
82,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,4608,RIT,2023
83,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,5659,RIT,2023
84,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,5865,RIT,2023
85,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,5573,RIT,2024
86,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,5679,RIT,2024
87,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,6251,RIT,2024
88,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,5884,RIT,2024
89,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,5797,RIT,2024
90,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,5373,RIT,2024
91,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,5783,RIT,2024
92,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,5799,RIT,2024
93,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,5726,RIT,2024
94,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,5950,RIT,2024
95,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,5059,RIT,2024
96,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,4933,RIT,2024
