Koordinat,Jenis,Nama Fasilitas,Kapasitas
"-6.891511,107.67961",TPST/TPS 3R,TPST Ex TPA Cicabe,
"-6.94347369999999,107.6496622",TPST/TPS 3R,RS Edelewis,
"-6.940072,107.6686788",TPST/TPS 3R,RS AL Islam,
"-6.89207659999999,107.6032797",TPST/TPS 3R,RS Advent Bandung,
"-6.9370267,107.6873178",TPST/TPS 3R,PURI NUSA,
"-6.94960729999999,107.6344299",TPST/TPS 3R,PT.Akur Pratama (Yogya DC),
"-6.8987975,107.6086532",TPST/TPS 3R,PT. Hexa Pilar Utàma  (Balubur Town Square),
"-6.92904719999999,107.5676757",TPST/TPS 3R,PT KARTIKA INTI SEJATI,
"-6.9128761,107.6296833",TPST/TPS 3R,Grand Tebu Hotel,
"-6.95592329999999,107.661776",TPST/TPS 3R,RSKIA Harapan Bunda,
"-6.8909961,107.6269099",TPST/TPS 3R,TPS 3R Sadang Serang,
"-6.9040569,107.666282",TPST/TPS 3R,UNIVERSITA ISLAM NEGERI,
"-6.9326104,107.683552",TPST/TPS 3R,PINUS REGENCY,
"-6.9122332,107.6259681",TPST/TPS 3R,PATRAKOMALA,
"-6.8890902,107.6137453",TPST/TPS 3R,PATRA JASA,
"-6.9399954,107.5968174",TPST/TPS 3R,PASAR LEUWI PANJANG,
"-6.9175342,107.6045391",TPST/TPS 3R,PASAR BARU,
"-6.91782489999999,107.590384",TPST/TPS 3R,PASAR ANDIR,
"-6.945204,107.5787394",TPST/TPS 3R,PASADENA,
"-6.87702739999999,107.6031983",TPST/TPS 3R,Parahyangan Residences,
"-6.9048517,107.604083",TPST/TPS 3R,Novotel Bandung,
"-6.88099149999999,107.6161735",TPST/TPS 3R,Moxy Hotel Bandung,
"-6.9434543,107.6583308",TPST/TPS 3R,Metro Indah Mall,
"-6.94876,107.61368",TPST/TPS 3R,MENGGER GIRANG,
"-6.948506,107.6027524",TPST/TPS 3R,MEKAR WANGI,
"-6.9149086,107.6179052",TPST/TPS 3R,Meize Hotel,
"-6.94858079999999,107.6347498",TPST/TPS 3R,Mayapada Hospital Bandung,
"-6.9264224,107.6400291",TPST/TPS 3R,MALEER RW 06,
"-6.9067506,107.6289022",TPST/TPS 3R,MALEER RW 05,
"-6.9267809,107.6406999",TPST/TPS 3R,MALEER INDAH,
"-6.9270799,107.6232181",TPST/TPS 3R,Malaka Hotel,
"-6.956568,107.6436308",TPST/TPS 3R,KUJANGSARI 4,
"-6.92922989999999,107.6235059",TPST/TPS 3R,KUJANGSARI 10,
"-6.9070021,107.6158639",TPST/TPS 3R,Klinik Utama Perisai Husada,
"-6.9169177,107.6138175",TPST/TPS 3R,Klinik Utama Bandung Eye Center (Sumatera),
"-6.89071089999999,107.6254085",TPST/TPS 3R,Kantor DLH Kota Bandung,
"-6.8897531,107.5598704",TPST/TPS 3R,JL. BUDHI,
"-6.962595,107.6482832",TPST/TPS 3R,JAKAPURWA,
"-6.91466,107.6326675",TPST/TPS 3R,IBCC,
"-6.909144,107.624781",TPST/TPS 3R,Hotel Panen,
"-6.9070209,107.6191867",TPST/TPS 3R,Hotel Noor,
"-6.88981209999999,107.6164407",TPST/TPS 3R,Hotel Neo Dipatiukur,
"-6.9051506,107.6006522",TPST/TPS 3R,RSKJP Melinda Cardio Vascular Center,
"-6.90419399999999,107.666794",TPST/TPS 3R,RSU. Hermina Arcamanik,
"-6.9526901,107.6108616",TPST/TPS 3R,TPS 3R Singgasana Pradana,
"-6.9435482,107.5917545",TPST/TPS 3R,RSUD Bandung Kiwari,
"-6.9117733,107.5981576",TPST/TPS 3R,Hotel Citradream,
"-6.91563379999999,107.6987512",TPST/TPS 3R,RSUD Bandung,
"-6.9018747,107.6082321",TPST/TPS 3R,TPS 3R Taman Sari,
"-6.93812049999999,107.6370695",TPST/TPS 3R,GUMURUH,
